id,mssv,listening,reading,total,mamh,ghichu
1,DA75FFFEXPvAibaEXe8808q51BnmQhHT8REwWMQJ,,,15.0,,
2,336B9F53XPvAibaEXe/jd8ghaf1GTNPSHNuhAHTZ,,,15.0,,
3,67A51DC3XPvAibaEXe/7YVAxOsMwOtCFvKInEQ0e,,,16.0,,
4,387E2EFEXPvAibaEXe96K1aB3B4cKSj8mKKciukN,,,16.0,,
6,13D900A2XPvAibaEXe97wmuqTYuV7bJOKimbzKxM,,,18.0,,
7,AD5DDB61XPvAibaEXe97wmuqTYuV7bFPojsU1F+x,,,18.0,,
8,EBC55C2BXPvAibaEXe/7YVAxOsMwOk0EasYVdFSG,,,18.0,,
9,31656E5EXPvAibaEXe9N+b7C2VGPszP5c8rfamtp,,,18.0,,
10,CBB55F72XPvAibaEXe9Hp2TeoSwCGX/R/AU50aAF,,,19.0,,
11,40D2257DXPvAibaEXe9Hp2TeoSwCGTMp/uHWnnOo,,,19.0,,
13,CB6377B6XPvAibaEXe8808q51BnmQgFXOVlspk8F,,,20.0,,
14,1C5409B8XPvAibaEXe+/1KYXP+fweAeOyBmRMHFS,,,20.0,,
15,09DAA20BXPvAibaEXe8cJKtXZaLmvUsH6H9yaOrj,,,20.0,,
16,D3C8FCBFXPvAibaEXe9uaaZ/YedHVE2vFI3CwdF0,,,20.0,,
19,E16A784CXPvAibaEXe96K1aB3B4cKVqj15x8J3Fa,,,22.0,,
20,D9987866XPvAibaEXe+5AEinM7he3nNXvaIkjIqo,,,22.0,,
21,DE53507FXPvAibaEXe+fEAEfw3o+Ko6TvTSgijy3,,,22.0,,
22,158FB8C2XPvAibaEXe+x/3KKGWxYH2pEsBjyxoBO,,,22.0,,
23,6D8F53BDXPvAibaEXe8cJKtXZaLmvZGbeRUvU9Ym,,,22.0,,
24,D40A5224XPvAibaEXe/sW+jVmHnQGrpyj9mM/5XW,,,22.0,,
25,751C5CD8XPvAibaEXe8OoiZ7Qg2eT/MgIge5XLta,,,23.0,,
26,E1E49AA0XPvAibaEXe9uaaZ/YedHVPiewa5uM8QS,,,23.0,,
27,1B5C151DXPvAibaEXe9CFhTkHod3yUw8wiccXxfg,,,23.0,,
28,EE124006XPvAibaEXe+x/3KKGWxYH5eE8fYkddOq,,,23.0,,
29,BE04727AXPvAibaEXe8OoiZ7Qg2eT9tClu4Cs32M,,,23.0,,
30,4E3B2E64XPvAibaEXe93t/fGOsRpn05lMH4zm7Cp,,,23.0,,
31,0A29A66BXPvAibaEXe9CFhTkHod3yS4qPQKSYcEO,,,23.0,,
33,49ABC5EFXPvAibaEXe8eWl5Nr7OWQt3VotR9dXYx,,,23.0,,
34,789C02AAXPvAibaEXe+/1KYXP+fweK/y54Tvf704,,,24.0,,
35,A111A056XPvAibaEXe88G96lR9q/HbP6O5OR4CqK,,,24.0,,
36,6BDC0FB3XPvAibaEXe+5AEinM7he3oT9mkidxPDW,,,24.0,,
37,C805294BXPvAibaEXe8cJKtXZaLmvXmkH+PgfnFb,,,24.0,,
38,8474C347XPvAibaEXe+/1KYXP+fweAETvLS68nEF,,,24.0,,
39,E0C52A16XPvAibaEXe904Wq1lYkfi/ntiwVmPGZr,,,25.0,,
40,8A73C0A4XPvAibaEXe9uaaZ/YedHVG4ke7HP5CVh,,,25.0,,
41,E679EB47XPvAibaEXe+eIy6TmCsZuwhDZyQzJ/il,,,25.0,,
42,ACC6BE03XPvAibaEXe/7jEMhYBA6GZiEn3v4da33,,,25.0,,
43,7BAE4D59XPvAibaEXe/04IiIK7okBc/e3nqwl6Yl,,,25.0,,
44,E7959B13XPvAibaEXe93t/fGOsRpn/6DkGbVhKDL,,,25.0,,
45,CF820E88XPvAibaEXe88G96lR9q/HWQHdno6Q1dE,,,25.0,,
46,B3BB25C7XPvAibaEXe8E8MfopOpLfow3YpFUxKb9,,,25.0,,
47,F4F90434XPvAibaEXe/04IiIK7okBT/n8bF22cJ4,,,25.0,,
48,27A62100XPvAibaEXe+/1KYXP+fweJyZsRuyxmIg,,,25.0,,
49,63276F86XPvAibaEXe9Hp2TeoSwCGTQ0JelgLNZH,,,25.0,,
50,3A14E413XPvAibaEXe9uaaZ/YedHVADddd6jtCYd,,,26.0,,
51,19E0EE8FXPvAibaEXe97wmuqTYuV7djoRDmkvxKL,,,26.0,,
52,59F24D89XPvAibaEXe+MMervxP1vAFgzvQQfMwEA,,,26.0,,
53,E747458DXPvAibaEXe96K1aB3B4cKQggKDkChiCr,,,26.0,,
54,1E458D16XPvAibaEXe92C4qaj9kvH6/S4CNEqhXl,,,26.0,,
55,8EDF0CBCXPvAibaEXe+eIy6TmCsZu0mu7wa7hWrc,,,26.0,,
56,C1C2D49CXPvAibaEXe+5AEinM7he3lYo4Yh3wzso,,,26.0,,
57,0E3CC85BXPvAibaEXe/7YVAxOsMwOq19C4IZbCNV,,,26.0,,
58,039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,,,26.0,,
59,55164ECCXPvAibaEXe8NrxrmA741rzp6pr4JjBBO,,,27.0,,
60,E5B72901XPvAibaEXe/04IiIK7okBVX65TwUbxSQ,,,27.0,,
61,D77BA55CXPvAibaEXe97wmuqTYuV7ZzXGRkYG5x/,,,27.0,,
62,AF786B20XPvAibaEXe+MMervxP1vAEwg60BSZIR9,,,27.0,,
63,BDF344E0XPvAibaEXe97wmuqTYuV7e+YykH8Z97h,,,27.0,,
64,B4BB0B80XPvAibaEXe/sW+jVmHnQGrbV2aMBZxbl,,,27.0,,
65,D20DDE4FXPvAibaEXe8HWu5TvPOfaN9KOnh24+IZ,,,27.0,,
66,2B9BB841XPvAibaEXe/7YVAxOsMwOsVlHgtpSb0I,,,27.0,,
67,DB9FA965XPvAibaEXe904Wq1lYkfi1x2F3Ukc2Og,,,27.0,,
68,464EEB66XPvAibaEXe93t/fGOsRpnwKvZu4uHWUr,,,28.0,,
69,1A074443XPvAibaEXe/aqMXYDLKHRzKFKPFlF+3v,,,28.0,,
70,D6F5BEF7XPvAibaEXe+MMervxP1vAHvM1MwhSFCY,,,28.0,,
71,342257EAXPvAibaEXe/aqMXYDLKHR3SjNQBzsJDf,,,28.0,,
72,CE5AA641XPvAibaEXe/UTqPTjBxFVqOsv91ZMjHy,,,28.0,,
73,8851E69BXPvAibaEXe+eIy6TmCsZuzduBAHXYnYj,,,28.0,,
74,32425155XPvAibaEXe/jd8ghaf1GTDJ2RkglGilP,,,28.0,,
75,E19EA87BXPvAibaEXe96K1aB3B4cKbTxUAPWhMbc,,,29.0,,
76,BD12868AXPvAibaEXe8OoiZ7Qg2eT6mcyIhrsW0w,,,29.0,,
77,8F1119D3XPvAibaEXe/04IiIK7okBcgSWyeIFMKt,,,29.0,,
78,BFF8DA2FXPvAibaEXe+5AEinM7he3tn9b67IIJsR,,,29.0,,
79,2CFFC4A4XPvAibaEXe/UTqPTjBxFVmaKYeKYiNBw,,,29.0,,
80,A5C691C3XPvAibaEXe+MMervxP1vAHa9ZKGghhV0,,,30.0,,
81,408D0B61XPvAibaEXe/04IiIK7okBdYvNYs5MiFQ,,,30.0,,
82,6DE3DA07XPvAibaEXe+SI2uhC5CMEYmTe/FcwE7t,,,30.0,,
83,902895CAXPvAibaEXe9Hp2TeoSwCGUc05NETHA4y,,,30.0,,
84,0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/,,,30.0,,
85,C6142704XPvAibaEXe88G96lR9q/HVMhBqOaOjJX,,,30.0,,
86,232946CFXPvAibaEXe/JhqMYLzzrR02+yvZ+pT+i,,,30.0,,
87,59884D21XPvAibaEXe8NrxrmA741r7Pe5nXtcI17,,,31.0,,
88,5E19BA75XPvAibaEXe96K1aB3B4cKVe+zJZEtwvN,,,31.0,,
89,6E786189XPvAibaEXe9N+b7C2VGPs5hGjFNP9OPe,,,31.0,,
90,33C734B5XPvAibaEXe+/1KYXP+fweL6Sr/n8oIDs,,,31.0,,
91,F400B823XPvAibaEXe92C4qaj9kvH9/66t3hNsRx,,,31.0,,
92,E32F85C4XPvAibaEXe8OoiZ7Qg2eTzHFJYtJfMmx,,,31.0,,
