,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,mssv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG,Ten_Tinh,KHU_VUC,nam_thi
0,0,0,0,7E308531XPvAibaEXe879+AOg1gh8i58Q/VMq7RU,0,24.5,53,32.0,THPT Bình Đông,Tiền Giang,Khu vực 1,2013.0
1,1,1,1,530FE4E9XPvAibaEXe+4hxKfaQWuhFsElpA2NjHn,0,26.5,53,22.0,THPT Vĩnh Bình,Tiền Giang,Khu vực 2 NT,2013.0
2,2,2,2,302C659FXPvAibaEXe80gGmWuNekT9HQE57P7S6C,0,31.5,53,25.0,THPT Trương Định,Tiền Giang,Khu vực 2,2013.0
3,3,3,3,F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,0,28.5,53,19.0,THPT Chợ Gạo,Tiền Giang,Khu vực 2 NT,2013.0
4,4,4,4,11D7FBB7XPvAibaEXe8/3iNqySORby7kyf2IzNeI,0,24.5,53,16.0,THPT Chuyên TG,Tiền Giang,Khu vực 2,2013.0
5,5,5,5,8850B56AXPvAibaEXe8Y+/3uR2PkTM01dracEFoq,0,29.0,53,15.0,THPT Nguyễn Đình Chiểu,Tiền Giang,Khu vực 2,2013.0
6,6,6,6,E907A4DAXPvAibaEXe+Y5CB/5gt3MMEtpeI9uUCE,0,30.0,53,28.0,THPT Gò Công Đông,Tiền Giang,Khu vực 2 NT,2013.0
7,7,7,7,9D53300DXPvAibaEXe8ydgsBCmjqA2j6bQSrS7Xs,0,28.0,53,11.0,THPT Vĩnh Kim,Tiền Giang,Khu vực 2 NT,2013.0
8,8,8,8,BC4D7362XPvAibaEXe/zHDidEgqCTtuOJqWtyJVx,0,23.5,53,6.0,THPT Đốc Binh Kiều,Tiền Giang,Khu vực 2,2013.0
9,9,9,9,DE4FB5EDXPvAibaEXe+suUpvSAu/o6wQrBXTr/gB,0,24.5,53,23.0,THPT Long Bình,Tiền Giang,Khu vực 2 NT,2013.0
10,10,10,10,DAFCE097XPvAibaEXe+Z7KfNHYLttKsB/kdM5tuZ,0,26.0,53,6.0,THPT Đốc Binh Kiều,Tiền Giang,Khu vực 2,2013.0
11,11,11,11,B7A4BFEBXPvAibaEXe9E+KuE/nFliZ33muV8YpEN,0,26.0,53,2.0,THPT Phạm Thành Trung,Tiền Giang,Khu vực 2 NT,2013.0
12,12,12,12,270990B2XPvAibaEXe/yXiKgsgy0ssIlT09WGo+h,0,27.5,53,7.0,THPT Lưu Tấn Phát,Tiền Giang,Khu vực 2 NT,2013.0
13,13,13,13,1F285928XPvAibaEXe+LLvbxzunmJI/aRkmjtjs5,0,25.0,53,15.0,THPT Nguyễn Đình Chiểu,Tiền Giang,Khu vực 2,2013.0
14,14,14,14,0B468FE1XPvAibaEXe+fmxcqgvribL7shgQ1FhJv,0,29.0,53,11.0,THPT Vĩnh Kim,Tiền Giang,Khu vực 2 NT,2013.0
15,15,15,15,00046394XPvAibaEXe+fmxcqgvribEcT4YmJhSFD,0,27.0,53,25.0,THPT Trương Định,Tiền Giang,Khu vực 2,2013.0
16,16,16,16,7D458579XPvAibaEXe/caEx4rNa5qUtI1gfaPJvU,0,24.0,53,6.0,THPT Đốc Binh Kiều,Tiền Giang,Khu vực 2,2013.0
17,17,17,17,F2172708XPvAibaEXe9fwZBwsCOuQBWO6yBIlUld,0,30.5,53,16.0,THPT Chuyên TG,Tiền Giang,Khu vực 2,2013.0
18,18,18,18,71ABA6D5XPvAibaEXe9fwZBwsCOuQNwK1At3AEjT,0,29.5,53,25.0,THPT Trương Định,Tiền Giang,Khu vực 2,2013.0
19,19,19,19,FD4D8D5EXPvAibaEXe9MLbI3cCq2BCl9gcft6mvc,0,27.0,53,6.0,THPT Đốc Binh Kiều,Tiền Giang,Khu vực 2,2013.0
20,20,20,20,9EF161A4XPvAibaEXe+gsTDvgY5pDiTxGuafuV/2,0,27.5,53,19.0,THPT Chợ Gạo,Tiền Giang,Khu vực 2 NT,2013.0
21,21,21,21,E3BE5EC2XPvAibaEXe/6muSCAeQUC95vwcfIJ1oV,0,27.5,53,6.0,THPT Đốc Binh Kiều,Tiền Giang,Khu vực 2,2013.0
22,22,22,22,C29EA000XPvAibaEXe8jolcsAIssTLKSQEcU+Uyk,0,27.5,53,20.0,THPT Thủ Khoa Huân,Tiền Giang,Khu vực 2 NT,2013.0
23,23,23,23,3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,0,22.75,53,16.0,THPT Chuyên TG,Tiền Giang,Khu vực 2,2016.0
24,24,24,24,8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,0,22.0,53,16.0,THPT Chuyên TG,Tiền Giang,Khu vực 2,2016.0
