masv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
E95E7C6DXPvAibaEXe+1j/AqdkpM22DHf6P99fDJ,3.0,Tốt nghiệp,2.0,2016.0, 178 /QĐ-ĐHCNTT,2017-04-14
EBC8A649XPvAibaEXe+fmxcqgvribIboSP1ToKmG,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
C307F053XPvAibaEXe+nZBq3b0XEhX8PABYu6iV1,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
7134F004XPvAibaEXe9eSUilQ3V71iW9jk0tCHGd,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
90324570XPvAibaEXe9Xnw4t0GPgxzBH5J/Jtjdb,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
E69E5181XPvAibaEXe+Y5CB/5gt3MFjmq2+4vhk0,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
0ECFDCE2XPvAibaEXe9hPQQhQOOPyenrlTjJyLmh,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
9C9D7B29XPvAibaEXe9aucNQ7/14aOsZ4IvYO2l6,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
B9E5D259XPvAibaEXe8VekUw4ELehsnOqNbPmwk3,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
25C15555XPvAibaEXe9M021iVaAwIGned3/1O2WJ,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
D8B81312XPvAibaEXe/PGAaNNWvbUIfmRv3bR2wn,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
134B0E11XPvAibaEXe+sfU1lcH9y3wqzt5gIecFn,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
D0FE4969XPvAibaEXe/yXiKgsgy0slCmJ5EKt6Ki,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
40F7E8D0XPvAibaEXe+nZBq3b0XEhfcwXLmoc4Pj,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
0A049F45XPvAibaEXe9CtFSNMbfIz9qE7i0Fu4My,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
7A7166DAXPvAibaEXe83V/kFvw2bBZ0o/KVHZc30,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
A94C53D3XPvAibaEXe9CtFSNMbfIzwaQ8b7n0Srn,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
6B2F14CCXPvAibaEXe+wmtNhlfgIwsa71h+ulLl3,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
C63071C5XPvAibaEXe9JDlHA4z2GHBvVa1gNFpuJ,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
5C5B33CCXPvAibaEXe9h45naFhFKYqqSE6oJtu2D,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
EF14B804XPvAibaEXe+sfU1lcH9y3xWTa18hz849,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
BE78DAE0XPvAibaEXe/zHDidEgqCToUSGJsnNs/s,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
4519669FXPvAibaEXe/uH+ehSKMSjbKx7ngVlc1q,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
ABAA6224XPvAibaEXe/Bn5cQSu92WeNVQEnSRa2a,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
932C10EAXPvAibaEXe/ji2wENvGp6DccIRS4GipU,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
58DEC626XPvAibaEXe99GOtI/HwJhc7sNQN4+/Pa,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
A7480F67XPvAibaEXe/lOccskaOiO75Myb5P3LDQ,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
6F5D342AXPvAibaEXe9eSUilQ3V71r5onVJoXXZK,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
EB87A112XPvAibaEXe+yU1j0ocViqSbXKj24nkqQ,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
209DFFA3XPvAibaEXe+cD1fKElqxL0w/CiUgdc4i,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
17946C80XPvAibaEXe9lF2o7VejWNoJR7PTzcZwM,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
844FC6F6XPvAibaEXe+Y5CB/5gt3MJxEmi5bZKP2,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
B9080B55XPvAibaEXe+suUpvSAu/o8TqJY01Eqyx,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
B0446B28XPvAibaEXe+5f3nhbX2ehwI8GK1nbG8j,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
7F8E6556XPvAibaEXe/Bn5cQSu92WW9hSgwhnu8h,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
B981E9E5XPvAibaEXe9E+KuE/nFlid9nvxQOBGkV,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
8BD66DE8XPvAibaEXe9Bx5CZuIA9z4lpYtW5T9Ft,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
2C9E3006XPvAibaEXe+1j/AqdkpM2yVDjmi0fdgL,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
FFE9E452XPvAibaEXe+6MN9FoW2mqXtx1lMTF9+D,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
6CDA0ED7XPvAibaEXe+BHZkA9XgGXSS4BHzShGje,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
EDD0F071XPvAibaEXe+BHZkA9XgGXcEipjLDOZCD,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
ACC4D198XPvAibaEXe+5oCRQPDKXspsKZR6r2Sfg,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
EB088421XPvAibaEXe9aucNQ7/14aMv4g9KsRfJR,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
C06D6804XPvAibaEXe/lOccskaOiOzn1wuEhQE1s,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
90DB40EBXPvAibaEXe8VekUw4ELehq65j34D9PkS,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
68E760BFXPvAibaEXe8ooYk4mkUGmPtFJ8yRjfYR,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
A20F7E4AXPvAibaEXe9JdUmjPcaT8iHevy7upJJ3,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
12C24162XPvAibaEXe9Xnw4t0GPgx9K2sCLXkxKl,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
6668D44AXPvAibaEXe99GOtI/HwJhanR/t567SdC,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
9FC490D1XPvAibaEXe/V2dF0qjs8bfJmcAaGrAyd,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
0D5F945EXPvAibaEXe8CKeIX0ksEeMKbwIdrC9sO,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
535EE7D3XPvAibaEXe9/su+qLcYDMqV4B2iJU0yP,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
EC288A3AXPvAibaEXe/6muSCAeQUC0/HYwqGRTEN,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
8A298ECAXPvAibaEXe+PhKfQb0+XJ+kXHQSu4bQz,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
182EDDDCXPvAibaEXe+1P/4gNbgredAYJhLzP30B,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
882C1D7FXPvAibaEXe9fwZBwsCOuQPUdyMrENQrr,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
83845261XPvAibaEXe9hPQQhQOOPyYvq0zhwjv2w,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
82EB45E9XPvAibaEXe9eSUilQ3V71rLMOFZnU1bQ,3.0,,1.0,2017.0, 713/QD-DHCNTT,2017-10-06
