mssv,xeploai,soquyetdinh,ngaycapvb
E95E7C6DXPvAibaEXe+1j/AqdkpM22DHf6P99fDJ,Khá,178, 14/04/2017
D0FE4969XPvAibaEXe/yXiKgsgy0slCmJ5EKt6Ki,Giỏi,713, 06/10/2017
40F7E8D0XPvAibaEXe+nZBq3b0XEhfcwXLmoc4Pj,Giỏi,713, 06/10/2017
0A049F45XPvAibaEXe9CtFSNMbfIz9qE7i0Fu4My,Khá,713, 06/10/2017
7A7166DAXPvAibaEXe83V/kFvw2bBZ0o/KVHZc30,Khá,713, 06/10/2017
A94C53D3XPvAibaEXe9CtFSNMbfIzwaQ8b7n0Srn,Khá,713, 06/10/2017
786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY,Khá,713, 06/10/2017
6B2F14CCXPvAibaEXe+wmtNhlfgIwsa71h+ulLl3,Khá,713, 06/10/2017
62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU,Khá,713, 06/10/2017
C63071C5XPvAibaEXe9JDlHA4z2GHBvVa1gNFpuJ,Khá,713, 06/10/2017
5C5B33CCXPvAibaEXe9h45naFhFKYqqSE6oJtu2D,Khá,713, 06/10/2017
EF14B804XPvAibaEXe+sfU1lcH9y3xWTa18hz849,Khá,713, 06/10/2017
BE78DAE0XPvAibaEXe/zHDidEgqCToUSGJsnNs/s,Khá,713, 06/10/2017
4519669FXPvAibaEXe/uH+ehSKMSjbKx7ngVlc1q,Khá,713, 06/10/2017
ABAA6224XPvAibaEXe/Bn5cQSu92WeNVQEnSRa2a,Khá,713, 06/10/2017
932C10EAXPvAibaEXe/ji2wENvGp6DccIRS4GipU,Khá,713, 06/10/2017
58DEC626XPvAibaEXe99GOtI/HwJhc7sNQN4+/Pa,Khá,713, 06/10/2017
A7480F67XPvAibaEXe/lOccskaOiO75Myb5P3LDQ,Khá,713, 06/10/2017
6F5D342AXPvAibaEXe9eSUilQ3V71r5onVJoXXZK,Khá,713, 06/10/2017
EB87A112XPvAibaEXe+yU1j0ocViqSbXKj24nkqQ,Khá,713, 06/10/2017
209DFFA3XPvAibaEXe+cD1fKElqxL0w/CiUgdc4i,Khá,713, 06/10/2017
17946C80XPvAibaEXe9lF2o7VejWNoJR7PTzcZwM,Khá,713, 06/10/2017
844FC6F6XPvAibaEXe+Y5CB/5gt3MJxEmi5bZKP2,Khá,713, 06/10/2017
B9080B55XPvAibaEXe+suUpvSAu/o8TqJY01Eqyx,Khá,713, 06/10/2017
B0446B28XPvAibaEXe+5f3nhbX2ehwI8GK1nbG8j,Khá,713, 06/10/2017
7F8E6556XPvAibaEXe/Bn5cQSu92WW9hSgwhnu8h,Khá,713, 06/10/2017
B981E9E5XPvAibaEXe9E+KuE/nFlid9nvxQOBGkV,Trung bình khá,713, 06/10/2017
8BD66DE8XPvAibaEXe9Bx5CZuIA9z4lpYtW5T9Ft,Trung bình khá,713, 06/10/2017
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,Trung bình khá,713, 06/10/2017
2C9E3006XPvAibaEXe+1j/AqdkpM2yVDjmi0fdgL,Khá,713, 06/10/2017
EBC8A649XPvAibaEXe+fmxcqgvribIboSP1ToKmG,Giỏi,713, 06/10/2017
2ABBE719XPvAibaEXe9hPQQhQOOPyUJ9WJU9hlCM,Giỏi,772, 07/11/2017
C307F053XPvAibaEXe+nZBq3b0XEhX8PABYu6iV1,Khá,713, 06/10/2017
F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,Khá,713, 06/10/2017
7134F004XPvAibaEXe9eSUilQ3V71iW9jk0tCHGd,Khá,713, 06/10/2017
90324570XPvAibaEXe9Xnw4t0GPgxzBH5J/Jtjdb,Khá,713, 06/10/2017
E69E5181XPvAibaEXe+Y5CB/5gt3MFjmq2+4vhk0,Trung bình khá,713, 06/10/2017
0ECFDCE2XPvAibaEXe9hPQQhQOOPyenrlTjJyLmh,Giỏi,713, 06/10/2017
9C9D7B29XPvAibaEXe9aucNQ7/14aOsZ4IvYO2l6,Khá,713, 06/10/2017
9095EEE4XPvAibaEXe93PEySAJOVk2kOrJQCpxlr,Khá,713, 06/10/2017
B9E5D259XPvAibaEXe8VekUw4ELehsnOqNbPmwk3,Khá,713, 06/10/2017
25C15555XPvAibaEXe9M021iVaAwIGned3/1O2WJ,Khá,713, 06/10/2017
D8B81312XPvAibaEXe/PGAaNNWvbUIfmRv3bR2wn,Khá,713, 06/10/2017
134B0E11XPvAibaEXe+sfU1lcH9y3wqzt5gIecFn,Trung bình khá,713, 06/10/2017
