mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
48685401XPvAibaEXe99yNsueYx+scOnjQSx4nXO,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THCS&THPT,Khu vực 3,3,ENGBT
F6059576XPvAibaEXe99yNsueYx+seyUo79Ylb6Y,1998.0,0.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 3,4,ENG01
DC7421E3XPvAibaEXe99yNsueYx+sReTY2489sLU,1998.0,1.0,0.0,11.0,HTTT2016,CQUI,0,THCS&THPT,Khu vực 2,3,ENG01
20D5A706XPvAibaEXe99yNsueYx+sS7cA4Tr2w8n,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,1,ENG01
2B06BF01XPvAibaEXe99yNsueYx+sRv+V7PK3gss,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
7FA8CDB0XPvAibaEXe+dVXFbWVwKlXHfXiR7TH2V,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG01
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 1,3,ENG01
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1993.0,1.0,-5.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1998.0,1.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 3,2,ENG02
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1998.0,1.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2,4,ENG01
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2,2,ENG01
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG02
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,1996.0,1.0,-2.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 2 NT,3,ENG01
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,1998.0,1.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 2 NT,4,ENG01
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2,1,ENG02
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1998.0,0.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 3,3,ENG01
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1998.0,0.0,0.0,11.0,KHMT0001,CQUI,0,Chuyên,Khu vực 2,3,ENG01
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1997.0,1.0,-1.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2,2,ENG01
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1998.0,1.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 2 NT,4,ENG01
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1998.0,0.0,0.0,11.0,MMTT0001,CQUI,0,GDTX,Khu vực 2 NT,3,ENG01
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,Chuyên,Khu vực 2,3,ENGBT
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1998.0,0.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2,2,ENGBT
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1998.0,0.0,0.0,11.0,TMĐT2016,CQUI,0,THPT,Khu vực 2,3,ENG01
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG02
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1998.0,0.0,0.0,11.0,ATTN2016,KSTN,1,THPT,Khu vực 3,1,ENG02
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 3,4,ENG02
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1998.0,1.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 1,3,ENG01
