mssv,IT001,IT003,IT004,IT005,IT007,MA003,MA004,MA005,MA006,IT002
000AD0D8XPvAibaEXe+RQyZpP6sq6qqIPZXybx3Q,A,A,A,B,A,A,A,A,A,1
000C4D39XPvAibaEXe8AohUVcWybLdGDVP9n1cLa,A,A,B,B,B,A,A,B,A,1
0013D6E5XPvAibaEXe85hkLGQAJy3XgK9pA18A31,A,A,B,B,A,A,A,A,A,1
0018C59CXPvAibaEXe8C3lblh2dNniH+SYgLosUA,A,A,B,B,B,B,A,A,B,1
001E045BXPvAibaEXe+n07P56kWx2N6EoOCUJBA4,B,A,B,C,B,A,B,C,B,1
00256CA6XPvAibaEXe9ZBnO1fewQMfc0mu/9tLFg,A,A,A,A,A,A,A,A,A,1
002A69EBXPvAibaEXe93Rc7cR6VrXDeNmDpqGjUD,A,A,A,A,A,B,B,A,A,1
0034A080XPvAibaEXe/ZkCDd4JXTLli2QeXrWqVR,C,F,F,F,F,C,C,B,F,1
004BA243XPvAibaEXe/YCV++RiavqMD2sFfZ4KOh,A,F,B,C,B,B,C,F,A,1
005663C0XPvAibaEXe9Fg4HjUy856WUjpFu+WrIO,A,A,A,A,A,A,A,A,B,1
0063DC77XPvAibaEXe+9uXUaDIzyiK3MVZBgBSU+,A,F,F,F,F,C,B,F,C,0
00682F91XPvAibaEXe+7uJh0aD4oAh9STIRScEd+,B,A,B,B,B,B,A,B,B,1
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,A,A,A,B,A,C,A,B,C,1
007B0A19XPvAibaEXe/UEORkxzaGRmODz65jligT,A,B,A,B,A,A,B,C,B,1
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,A,A,C,B,B,A,B,A,A,1
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,B,C,C,C,B,B,C,B,B,1
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,B,C,C,C,C,F,C,C,B,1
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,B,C,C,C,F,F,B,C,C,1
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,B,B,C,C,B,C,C,A,C,1
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,C,C,A,B,A,C,A,A,C,1
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,C,C,F,F,A,C,F,C,C,1
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,B,C,B,B,B,A,B,A,B,1
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,A,A,A,B,B,C,B,A,A,1
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,C,C,C,C,C,C,B,C,B,1
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,C,C,C,B,B,C,A,B,B,1
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,A,A,B,A,B,A,A,A,A,1
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,A,C,C,B,C,C,A,B,A,1
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,B,B,B,B,B,B,C,C,C,1
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,C,A,C,B,C,A,C,F,B,1
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,A,A,B,B,C,B,C,B,C,1
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,C,C,B,A,A,A,B,B,C,1
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,A,A,A,A,A,A,A,A,A,1
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,B,A,A,A,B,C,A,B,B,1
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,A,A,A,A,A,A,A,A,A,1
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,A,A,B,B,A,C,C,B,B,1
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,C,C,C,C,C,C,B,A,C,1
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,F,F,F,F,B,F,F,F,F,0
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,A,A,B,A,A,A,A,A,B,1
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,A,B,A,A,A,B,A,A,A,1
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,A,B,B,B,B,A,A,A,A,1
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,A,A,A,B,A,A,A,A,A,1
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,A,A,A,A,A,A,A,A,A,1
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,F,F,F,F,F,F,C,F,A,0
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,B,B,C,B,B,B,B,A,B,1
